ALY,Alley
Aly,Alley
aly,Alley
Aly.,Alley
aly.,Alley
ANX,Annex
Anx,Annex
anx,Annex
Anx.,Annex
anx.,Annex
APT,Apartment
Apt,Apartment
apt,Apartment
Apt.,Apartment
apt.,Apartment
ARC,Arcade
Arc,Arcade
arc,Arcade
Arc.,Arcade
arc.,Arcade
AVE,Avenue
Ave,Avenue
ave,Avenue
Ave.,Avenue
ave.,Avenue
BSMT,Basement
Bsmt,Basement
bsmt,Basement
Bsmt.,Basement
bsmt.,Basement
BYU,Bayou
Byu,Bayou
byu,Bayou
Byu.,Bayou
byu.,Bayou
BCH,Beach
Bch,Beach
bch,Beach
Bch.,Beach
bch.,Beach
BND,Bend
Bnd,Bend
bnd,Bend
Bnd.,Bend
bnd.,Bend
BLF,Bluff
Blf,Bluff
blf,Bluff
Blf.,Bluff
blf.,Bluff
BTM,Bottom
Btm,Bottom
btm,Bottom
Btm.,Bottom
btm.,Bottom
BLVD,Boulevard
Blvd,Boulevard
blvd,Boulevard
Blvd.,Boulevard
blvd.,Boulevard
BR,Branch
Br,Branch
br,Branch
Br.,Branch
br.,Branch
BRG,Bridge
Brg,Bridge
brg,Bridge
Brg.,Bridge
brg.,Bridge
BRK,Brook
Brk,Brook
brk,Brook
Brk.,Brook
brk.,Brook
BLDG,Building
Bldg,Building
bldg,Building
Bldg.,Building
bldg.,Building
BG,Burg
Bg,Burg
bg,Burg
Bg.,Burg
bg.,Burg
BYP,Bypass
Byp,Bypass
byp,Bypass
Byp.,Bypass
byp.,Bypass
CP,Camp
Cp,Camp
cp,Camp
Cp.,Camp
cp.,Camp
CYN,Canyon
Cyn,Canyon
cyn,Canyon
Cyn.,Canyon
cyn.,Canyon
CPE,Cape
Cpe,Cape
cpe,Cape
Cpe.,Cape
cpe.,Cape
CSWY,Causeway
Cswy,Causeway
cswy,Causeway
Cswy.,Causeway
cswy.,Causeway
CTR,Center
Ctr,Center
ctr,Center
Ctr.,Center
ctr.,Center
CIR,Circle
Cir,Circle
cir,Circle
Cir.,Circle
cir.,Circle
CLFS,Cliff
Clfs,Cliff
clfs,Cliff
Clfs.,Cliff
clfs.,Cliff
CLFS,Cliffs
Clfs,Cliffs
clfs,Cliffs
Clfs.,Cliffs
clfs.,Cliffs
CLB,Club
Clb,Club
clb,Club
Clb.,Club
clb.,Club
COR,Corner
Cor,Corner
cor,Corner
Cor.,Corner
cor.,Corner
CORS,Corners
Cors,Corners
cors,Corners
Cors.,Corners
cors.,Corners
CRSE,Course
Crse,Course
crse,Course
Crse.,Course
crse.,Course
CT,Court
Ct,Court
ct,Court
Ct.,Court
ct.,Court
CTS,Courts
Cts,Courts
cts,Courts
Cts.,Courts
cts.,Courts
CV,Cove
Cv,Cove
cv,Cove
Cv.,Cove
cv.,Cove
CRK,Creek
Crk,Creek
crk,Creek
Crk.,Creek
crk.,Creek
CRES,Crescent
Cres,Crescent
cres,Crescent
Cres.,Crescent
cres.,Crescent
XING,Crossing
Xing,Crossing
xing,Crossing
Xing.,Crossing
xing.,Crossing
DL,Dale
Dl,Dale
dl,Dale
Dl.,Dale
dl.,Dale
DM,Dam
Dm,Dam
dm,Dam
Dm.,Dam
dm.,Dam
DEPT,Department
Dept,Department
dept,Department
Dept.,Department
dept.,Department
DV,Divide
Dv,Divide
dv,Divide
Dv.,Divide
dv.,Divide
DR,Drive
Dr,Drive
dr,Drive
Dr.,Drive
dr.,Drive
EST,Estate
Est,Estate
est,Estate
Est.,Estate
est.,Estate
EXPY,Expressway
Expy,Expressway
expy,Expressway
Expy.,Expressway
expy.,Expressway
EXT,Extension
Ext,Extension
ext,Extension
Ext.,Extension
ext.,Extension
FLS,Falls
Fls,Falls
fls,Falls
Fls.,Falls
fls.,Falls
FRY,Ferry
Fry,Ferry
fry,Ferry
Fry.,Ferry
fry.,Ferry
FLD,Field
Fld,Field
fld,Field
Fld.,Field
fld.,Field
FLDS,Fields
Flds,Fields
flds,Fields
Flds.,Fields
flds.,Fields
FLT,Flat
Flt,Flat
flt,Flat
Flt.,Flat
flt.,Flat
FL,Floor
Fl,Floor
fl,Floor
Fl.,Floor
fl.,Floor
FRD,Ford
Frd,Ford
frd,Ford
Frd.,Ford
frd.,Ford
FRST,Forest
Frst,Forest
frst,Forest
Frst.,Forest
frst.,Forest
FRG,Forge
Frg,Forge
frg,Forge
Frg.,Forge
frg.,Forge
FRK,Fork
Frk,Fork
frk,Fork
Frk.,Fork
frk.,Fork
FRKS,Forks
Frks,Forks
frks,Forks
Frks.,Forks
frks.,Forks
FT,Fort
Ft,Fort
ft,Fort
Ft.,Fort
ft.,Fort
FWY,Freeway
Fwy,Freeway
fwy,Freeway
Fwy.,Freeway
fwy.,Freeway
FRNT,Front
Frnt,Front
frnt,Front
Frnt.,Front
frnt.,Front
GDNS,Garden
Gdns,Garden
gdns,Garden
Gdns.,Garden
gdns.,Garden
GDNS,Gardens
Gdns,Gardens
gdns,Gardens
Gdns.,Gardens
gdns.,Gardens
GTWY,Gateway
Gtwy,Gateway
gtwy,Gateway
Gtwy.,Gateway
gtwy.,Gateway
GLN,Glen
Gln,Glen
gln,Glen
Gln.,Glen
gln.,Glen
GRN,Green
Grn,Green
grn,Green
Grn.,Green
grn.,Green
GRV,Grove
Grv,Grove
grv,Grove
Grv.,Grove
grv.,Grove
HNGR,Hanger
Hngr,Hanger
hngr,Hanger
Hngr.,Hanger
hngr.,Hanger
HBR,Harbor
Hbr,Harbor
hbr,Harbor
Hbr.,Harbor
hbr.,Harbor
HVN,Haven
Hvn,Haven
hvn,Haven
Hvn.,Haven
hvn.,Haven
HTS,Heights
Hts,Heights
hts,Heights
Hts.,Heights
hts.,Heights
HWY,Highway
Hwy,Highway
hwy,Highway
Hwy.,Highway
hwy.,Highway
HL,Hill
Hl,Hill
hl,Hill
Hl.,Hill
hl.,Hill
HLS,Hills
Hls,Hills
hls,Hills
Hls.,Hills
hls.,Hills
HOLW,Hollow
Holw,Hollow
holw,Hollow
Holw.,Hollow
holw.,Hollow
INLT,Inlet
Inlt,Inlet
inlt,Inlet
Inlt.,Inlet
inlt.,Inlet
IS,Island
Is,Island
is,Island
Is.,Island
is.,Island
ISS,Islands
Iss,Islands
iss,Islands
Iss.,Islands
iss.,Islands
JCT,Junction
Jct,Junction
jct,Junction
Jct.,Junction
jct.,Junction
KY,Key
Ky,Key
ky,Key
Ky.,Key
ky.,Key
KNLS,Knoll
Knls,Knoll
knls,Knoll
Knls.,Knoll
knls.,Knoll
KNLS,Knolls
Knls,Knolls
knls,Knolls
Knls.,Knolls
knls.,Knolls
LK,Lake
Lk,Lake
lk,Lake
Lk.,Lake
lk.,Lake
LKS,Lakes
Lks,Lakes
lks,Lakes
Lks.,Lakes
lks.,Lakes
LNDG,Landing
Lndg,Landing
lndg,Landing
Lndg.,Landing
lndg.,Landing
LN,Lane
Ln,Lane
ln,Lane
Ln.,Lane
ln.,Lane
LGT,Light
Lgt,Light
lgt,Light
Lgt.,Light
lgt.,Light
LF,Loaf
Lf,Loaf
lf,Loaf
Lf.,Loaf
lf.,Loaf
LBBY,Lobby
Lbby,Lobby
lbby,Lobby
Lbby.,Lobby
lbby.,Lobby
LCKS,Lock
Lcks,Lock
lcks,Lock
Lcks.,Lock
lcks.,Lock
LCKS,Locks
Lcks,Locks
lcks,Locks
Lcks.,Locks
lcks.,Locks
LDG,Lodge
Ldg,Lodge
ldg,Lodge
Ldg.,Lodge
ldg.,Lodge
LOWR,Lower
Lowr,Lower
lowr,Lower
Lowr.,Lower
lowr.,Lower
MNR,Manor
Mnr,Manor
mnr,Manor
Mnr.,Manor
mnr.,Manor
MDWS,Meadow
Mdws,Meadow
mdws,Meadow
Mdws.,Meadow
mdws.,Meadow
MDWS,Meadows
Mdws,Meadows
mdws,Meadows
Mdws.,Meadows
mdws.,Meadows
ML,Mill
Ml,Mill
ml,Mill
Ml.,Mill
ml.,Mill
MLS,Mills
Mls,Mills
mls,Mills
Mls.,Mills
mls.,Mills
MSN,Mission
Msn,Mission
msn,Mission
Msn.,Mission
msn.,Mission
MT,Mount
Mt,Mount
mt,Mount
Mt.,Mount
mt.,Mount
MTN,Mountain
Mtn,Mountain
mtn,Mountain
Mtn.,Mountain
mtn.,Mountain
NCK,Neck
Nck,Neck
nck,Neck
Nck.,Neck
nck.,Neck
OFC,Office
Ofc,Office
ofc,Office
Ofc.,Office
ofc.,Office
ORCH,Orchard
Orch,Orchard
orch,Orchard
Orch.,Orchard
orch.,Orchard
PKWY,Parkway
Pkwy,Parkway
pkwy,Parkway
Pkwy.,Parkway
pkwy.,Parkway
PH,Penthouse
Ph,Penthouse
ph,Penthouse
Ph.,Penthouse
ph.,Penthouse
PNES,Pine
Pnes,Pine
pnes,Pine
Pnes.,Pine
pnes.,Pine
PNES,Pines
Pnes,Pines
pnes,Pines
Pnes.,Pines
pnes.,Pines
PL,Place
Pl,Place
pl,Place
Pl.,Place
pl.,Place
PLN,Plain
Pln,Plain
pln,Plain
Pln.,Plain
pln.,Plain
PLNS,Plains
Plns,Plains
plns,Plains
Plns.,Plains
plns.,Plains
PLZ,Plaza
Plz,Plaza
plz,Plaza
Plz.,Plaza
plz.,Plaza
PT,Point
Pt,Point
pt,Point
Pt.,Point
pt.,Point
PRT,Port
Prt,Port
prt,Port
Prt.,Port
prt.,Port
PR,Prairie
Pr,Prairie
pr,Prairie
Pr.,Prairie
pr.,Prairie
RADL,Radial
Radl,Radial
radl,Radial
Radl.,Radial
radl.,Radial
RNCH,Ranch
Rnch,Ranch
rnch,Ranch
Rnch.,Ranch
rnch.,Ranch
RPDS,Rapid
Rpds,Rapid
rpds,Rapid
Rpds.,Rapid
rpds.,Rapid
RPDS,Rapids
Rpds,Rapids
rpds,Rapids
Rpds.,Rapids
rpds.,Rapids
RST,Rest
Rst,Rest
rst,Rest
Rst.,Rest
rst.,Rest
RDG,Ridge
Rdg,Ridge
rdg,Ridge
Rdg.,Ridge
rdg.,Ridge
RIV,River
Riv,River
riv,River
Riv.,River
riv.,River
RD,Road
Rd,Road
rd,Road
Rd.,Road
rd.,Road
RM,Room
Rm,Room
rm,Room
Rm.,Room
rm.,Room
SHL,Shoal
Shl,Shoal
shl,Shoal
Shl.,Shoal
shl.,Shoal
SHLS,Shoals
Shls,Shoals
shls,Shoals
Shls.,Shoals
shls.,Shoals
SHR,Shore
Shr,Shore
shr,Shore
Shr.,Shore
shr.,Shore
SHRS,Shores
Shrs,Shores
shrs,Shores
Shrs.,Shores
shrs.,Shores
SPC,Space
Spc,Space
spc,Space
Spc.,Space
spc.,Space
SPG,Spring
Spg,Spring
spg,Spring
Spg.,Spring
spg.,Spring
SPGS,Springs
Spgs,Springs
spgs,Springs
Spgs.,Springs
spgs.,Springs
SQ,Square
Sq,Square
sq,Square
Sq.,Square
sq.,Square
STA,Station
Sta,Station
sta,Station
Sta.,Station
sta.,Station
STRA,Stravenue
Stra,Stravenue
stra,Stravenue
Stra.,Stravenue
stra.,Stravenue
STRM,Stream
Strm,Stream
strm,Stream
Strm.,Stream
strm.,Stream
ST,Street
St,Street
st,Street
St.,Street
st.,Street
STE,Suite
Ste,Suite
ste,Suite
Ste.,Suite
ste.,Suite
SMT,Summit
Smt,Summit
smt,Summit
Smt.,Summit
smt.,Summit
TER,Terrace
Ter,Terrace
ter,Terrace
Ter.,Terrace
ter.,Terrace
TRCE,Trace
Trce,Trace
trce,Trace
Trce.,Trace
trce.,Trace
TRAK,Track
Trak,Track
trak,Track
Trak.,Track
trak.,Track
TRFY,Trafficway
Trfy,Trafficway
trfy,Trafficway
Trfy.,Trafficway
trfy.,Trafficway
TRL,Trail
Trl,Trail
trl,Trail
Trl.,Trail
trl.,Trail
TRLR,Trailer
Trlr,Trailer
trlr,Trailer
Trlr.,Trailer
trlr.,Trailer
TUNL,Tunnel
Tunl,Tunnel
tunl,Tunnel
Tunl.,Tunnel
tunl.,Tunnel
TPKE,Turnpike
Tpke,Turnpike
tpke,Turnpike
Tpke.,Turnpike
tpke.,Turnpike
UN,Union
Un,Union
un,Union
Un.,Union
un.,Union
UPPR,Upper
Uppr,Upper
uppr,Upper
Uppr.,Upper
uppr.,Upper
VLY,Valley
Vly,Valley
vly,Valley
Vly.,Valley
vly.,Valley
VIA,Viaduct
Via,Viaduct
via,Viaduct
Via.,Viaduct
via.,Viaduct
VW,View
Vw,View
vw,View
Vw.,View
vw.,View
VLG,Village
Vlg,Village
vlg,Village
Vlg.,Village
vlg.,Village
VL,Ville
Vl,Ville
vl,Ville
Vl.,Ville
vl.,Ville
VIS,Vista
Vis,Vista
vis,Vista
Vis.,Vista
vis.,Vista
WAY,Way
Way,Way
way,Way
Way.,Way
way.,Way
WLS,Well
Wls,Well
wls,Well
Wls.,Well
wls.,Well
WLS,Wells
Wls,Wells
wls,Wells
Wls.,Wells
wls.,Wells
street,Street
Druve,Drive
Cirlce,Circle
